"1"|"'Bout Time"|"9601 N Ih 35"|"Austin, Texas"|"(512)832-5339"|"A little bit of everything for everyone. Everyone is always welcome, never a cover and always a lot of fun. Happy hour 2pm - 8pm daily..."|"wi-fi,happy-hour,dj,karaoke"|"http://www.bouttimeaustin.com"
"2"|"100% Babe at The Office"|"3-5 Rathbone Place"|"London, UK"|"(07956) 514574"|"Womens night with gay men welcome as guests in the heart of the West End - London UK.

DJ's spin Cheesy 80's Soul/Disco choons and blend them into pumping Vocal/Funky House and R'n'B - on all BANK Holiday Sundays and now also the last Sunday of every OTHER month. Busy night so make sure you are there early to avoid queues/lining up.

        *** Check press/website for dates ***

   *** DJ:  Suze E-T (Wowbar/Girltronix/4U Girl) ***

For further info/details visit the website.  

Thanks for looking - we look forward to seeing you there !!"|"Dancing,DJ,Full Bar,Live Entertainment,Smoking Throughout,Free Parking,Cover Charge"|""
"3"|"11 Nightclub"|"1116 W Broward Blvd"|"Fort Lauderdale, Florida"|"(954)522-5931"|"Ft Lauderdale's hot new dance club featuring nightly parties and  go-go's. Check their links below for events  and Next to Johny's..."|"DJ,hook-up,credit-cards,food"|""
"4"|"12 Penny Saloon"|"3501 Birney Ave"|"Moosic, Pennsylvania"|"(570)941-0444"|"The 12 Penny Saloon was opened in 2003 as an alternative lifestyle bar. In the beginning it was just the main pub bar featuring a killer jukebox, pool table, and video games. In January of 2004, they opened the nightclub and quickly became one of the most popular dance clubs in the area. In addition they offer a full menu 7 days a week, and nightly dinner specials..."|"Drag,DJ,Hip-Hop,Karaoke,Darts,Video,Dancefloor"|"http://www.12pennysaloon.com"
"5"|"12th Air Command"|"254 S. 12th St."|"Philadelphia, Pennsylvania 19107-5638"|"(215) 545-8088"|"The 12th Air Command is located in the heart of Philadelphia's Gayborhood..."|"Dancing,DJ,Full Bar,Techno Music,Pop Music,Live Entertainment,Drag Shows,Food Served,Karaoke,Videos,Dancers/Strippers,Smoking Throughout,Outdoor/Patio,Pool Tables,Free Parking,Video Games"|""
"6"|"12th Air Command"|"254 S 12th St"|"Philadelphia, Pennsylvania"|"(215)545-8088"|"Dance and karaoke. Varied themed nights, See website for flyers..."|"dance,karaoke"|"http://www.12thair.com"
"7"|"1409 Playbill Cafe"|"1409 14th St NW"|"Washington, DC"|"(202) 265-3055"|"Theater is the name of the game at 1409 Playbill Cafe  Located in the venue formerly known as Logan Circle Sports Bar, 1409 Playbill Cafe keeps the look of a sports bar, but changes the theme  

Mounted posters of local plays adorn the walls (possibly replacing football memorabilia?)  Movie channels are tuned in to the four TVs that line the horseshoe bar: Over drinks, patrons catch a flick rather than the evening's sporting event 

Part of the avant-garde P Street theater district, the cafe is a neighbor to the Studio and Woolly Mammoth theaters and the Living Stage is just up the block  It's the perfect spot to get in the mood before a show, grab a drink between acts or get to know the cast after the final curtain call  The place is crawling with actors and theater aficionados  Even the bar manager directs plays in the back room, 1409 Playbill Cafe's own experimental theater, the Phoenix 

Open seven days a week, 1409 Playbill Cafe draws a real cast of characters  If you're not an actor, you're an artist; and if you're neither, sit back and enjoy the show  The bar is very friendly, and if you stick around for more than a drink, you're likely to be drawn into someone else's comedy or drama"|"Full Bar,Live Entertainment,Food Served"|""
"8"|"168 York"|"168 York St"|"New Haven, Connecticut"|"(203)789-1915"|"Situated in the heart of Yale University, 168 York offers a daily happy hour  from 4pm to 7pm, a complimentary BBQ every Sunday on the  outside patio with a live DJ and hot dancers (seasonal), not to mention the beer bash every Sunday and Thursday 8-12 pm with $1 domestic beers..."|"patio,BBQ,dj,beer-blast,food,brunch"|"http://www.168yorkstreetcafe.com"
"9"|"1851 Club"|"1851 W Division St"|"Arlington, Texas"|"(817)801-9303"|"1851 Club is a friendly show bar that offers daily drink specials, karaoke Thursday's, and all star drag shows on Friday & Saturday nights. Also features a pool table, two dart boards and has free internet access..."|"drag,pool,darts,karaoke,atm,wi-fi"|"http://www.1851club.com"
"10"|"1851 Club Arlington"|"1851 West Division St."|"Arlington, Texas 76011"|"(817) 801-9303"|"Arlington's Premier Gay Bar: 1851 Club Arlington is a small, friendly bar that offers drink specials daily, Karaoke Thursday, Drag Shows Friday & Saturday, and special events throughout the month.

1851 Club is located between Dallas/Fort Worth in the Entertainment Capital Of Texas. Arlington is the home to: The University of Texas At Arlington, Six Flags Over Texas, The Texas Rangers, and soon, The Dallas Cowboys."|"Dancing,DJ,Full Bar,Live Entertainment,Drag Shows,Karaoke,Credit Cards Accepted,Pool Tables,Video Games"|""
"11"|"19 Bar"|"19 W 15th St"|"Minneapolis, Minnesota"|"(612)871-5553"|"The oldest GLBT bar in Minneapolis. One bar, three pool tables, video games, two dart boards, patio/smoking porch and  friendly staff. Regular drama-free guy hangout..."|"Neighborhood,pool,darts,smoking-porch,video-games,ATM"|""
"12"|"2015 Place"|"2015 San Pedro"|"San Antonio, Texas 78212"|"(210) 733-3365"|"2015 Place is the oldest Gay bar in San Antonio which has been owned by the same owner. It has been voted the best Neighborhood Gay bar in San Antonio."|"Dancing,Full Bar,Drag Shows,Karaoke,Wheel Chair Access,Smoking Throughout,Outdoor/Patio,Credit Cards Accepted,ATM on premises,Pool Tables,Dart Boards,Free Parking,Video Games"|""
"13"|"2015 Place"|"2015 San Pedro Ave"|"San Antonio, Texas"|"(210)733-3365"|"Karaoke and video bar with 3 pool tables, drink specials and daily happy hour 4pm - 9pm..."|"karaoke,video,happy-hour,drink-specials"|""
"14"|"2101 Denver"|"2101 Champa Street"|"Denver, Colorado"|"(303) 299-9283"|"Wave Wedensdays is a Denver tradition at 2101 Denver.  $1 well drinks all night long and the club is packed full.  Get to the club early as there usually is a line.  No cover from 9-10.  Many cd and dvd promotions as well as guest DJs from around the world."|"Dancing,DJ,Techno Music,Pop Music,Live Entertainment,Drag Shows,Leather/Fetish,Dancers/Strippers,Wheel Chair Access,Smoking Throughout,Outdoor/Patio,Credit Cards Accepted,ATM on premises,Pool Tables,Free Parking,Cover Charge"|""
"15"|"220 Club"|"4201 N 1st St"|"Abilene, Texas"|"(325)672-5731"|"Abilene's only equality nightclub.  Featuring open talent /mic nights, drag shows, DJ, jukebox, large dance floor, pool tables, foosball and big screen tv..."|"drag,amateur,open-mic,DJ,Jukebox,Dance-Floor,Foosball,Pool-Table,TV,dancing"|"http://www.the220club.com"
"16"|"2606"|"2606 N. Armenia Ave."|"Tampa, Florida 33607"|"(813) 875-6993"|"Tampa's All Time Favorite Levi/Leather/Cruise Bar! Erotic Store also on premises!"|"Full Bar,Techno Music,Live Entertainment,Videos,Leather/Fetish,Dancers/Strippers,Smoking Throughout,Credit Cards Accepted,Pool Tables,Dart Boards,Free Parking"|""
"17"|"3 Legged Cowboy"|"931 Monroe"|"Atlanta, Georgia"|"(404)876-0001"|"GLBT Country Western Dance Bar.  All Country, All the Time, Open to Close.  Hot Cowboys in tight jeans...."|"gay,glbt,country,western,dj,video,denim,leather,cowboy,cowgirl,dancefloor,dancing,dance,2-step,waltz,two-step,swing,lessons,free,no-cover,cheap-drinks,line-dancing,line-dance,homosexual,iaglcwdc,ucwdc,lesbian,hot,dj-joey,hoedowns"|"http://www.3leggedcowboy.net"
"18"|"3160"|"3160 N Clark St, Boystown"|"Chicago, Illinois"|"(773)327-5969"|"Thirty-one sixty is Chicago's newest live piano and cabaret bar. Performances nightly Wednesdays through Sundays and never a cover charge. (Formerly Annex 3)..."|"piano,cabaret,no-cover,live-entertainment,singers,pop-music-on-the-piano,comedy,gio,dart-league,darts,paul-marinaro,ross-long,amy-cole,jeff-roscoe,mark-ferris,dan-stetzel,tony-shortt,alma-mendoza,open-mic,beckie-menzie"|"http://chicago3160.com"
"19"|"4 Seasons"|"3229 N Causeway Blvd"|"Metairie, Louisiana"|"(504)832-0659"|"The 4 Seasons and Out Back Bar is a locals type of place with jukebox, trivia contests, pool table and friendly bartenders. Even has a back patio for relaxing on cool evenings. Some live entertainment there sometimes too ..."|"Pool,drinking,trivia-machines,local"|"http://4SeasonsNO.com"
"20"|"40C"|"40 Ave C"|"New York, New York"|"(212)466-0800"|"Stylish East Village lounge with charm. Mixed some nights, gay others, always welcoming..."|"mixed,DJ,lounge,go-go,electro,hip-hop,house,trash"|"http://www.40cnyc.com"
"21"|"4100 Bar"|"4100 W Sunset Blvd"|"Los Angeles, California"|"(323)666-4460"|""|""|""
"22"|"43 10 Club"|"Rue de Bourg 43"|"Lausanne, Switzerland"|"(+41 21) 320.43.20"|"In downtown of Lausanne in Switzerland, a Bar-Club with an unique style and welcoming and warm atmosphere where music is going to transport you somewhere higher! A Club where you can dance, drink, watch and being watched. The tendence is the ambience, the tolerance and the difference!"|"Dancing,DJ,Full Bar,Techno Music,Drag Shows,Food Served,Dancers/Strippers,Wheel Chair Access,Smoking Throughout,Credit Cards Accepted"|""
"23"|"440 Castro"|"440 Castro St, Castro"|"San Francisco, California"|"(415)621-8732"|"Castro local man bar with happy hour  catering to the leather, Levi and daddy's in us all. Nightly events include DJ, drink specials and underwear party..."|"leather,levi,daddy,uniform,fetish,gay,underwear,happy-hour,go-go,DJ,house"|"http://www.the440.com"
"24"|"44th Ward"|"3542 N Halsted St, Boystown"|"Chicago, Illinois"|"(312)523-9467"|"Mixed crowd and smoking patio. Grab a bite or a game of bingo at 44th Ward. Formerly Lakeview Broadcasting Company..."|"mixed,DJ,dancing,food,smoking-patio,hipster,bingo"|"http://the44thward.com"
"25"|"47 Central"|"47 Central Ave"|"Lynn, Massachusetts"|"(781)586-0551"|"Where everyone is welcome for stiff drinks, food, good conversation, watch videos, digital jukebox or have a game of pool or darts. Occasional drag, leather, uniform and lube wrestling themed nights..."|"food,jukebox,pool,darts,drag,leather,uniform,wrestling,tv,video"|""
"26"|"5 Star Saloon"|"132 West St."|"Reno, Nevada 89501"|"(775) 329-2878"|"Located conveniently in downtown Reno , the 5 Star Saloon is a friendly, sassy place for everyone to enjoy a nice drink with a welcoming crowd.   We have pool tables, live shows, live DJs and an internet jukebox. Open 24 hours, no cover, free wi-fi internet, and smoking is always allowed.

Our weekly theme nights include:
Monday - Ladies' Night.  Free Beauty consultations by the sexy Salon 7 girls.  50% off appointments if you book here!
Thursday - Indulgence.  DJ Sophology brings you Anything Goes music.  80's, new wave, pop, goth, industrial... anything your little heart desires.
Friday & Saturday - DJ Ja'Net plays all the top 40, house, dance, and high energy music that you love.

Free parking at the 1st St. Parking Gallery with validation."|"Dancing,DJ,Full Bar,Techno Music,Pop Music,Live Entertainment,Drag Shows,Food Served,Smoking Throughout,Credit Cards Accepted,ATM on premises,Pool Tables,Free Parking,Video Games"|""
"27"|"501 Eagle"|"501 N College Ave"|"Indianapolis, Indiana"|"(317)632-2100"|"Leather/Levi bar with 2 pool tables, games, darts  and pinball machine. Fridays and Saturdays at  10pm the upstairs bar opens..."|"leather,levi,fetish,pool,games,pinball"|"http://www.501eagle.com"
