#Location	Name	Adress	Phone	Website	 Linkanchor	 Picture	Shortdescription
North America/USA/Alabama	AlaPleasures Club	AlaPleasures Club		http://www.alapleasuresclub.com	www.alapleasuresclub.com		Off Premise, Private, No Single Males, Invitation Only
North America/USA/Alabama	Bewitched	Mobile	(601) 928-7716	http://www.bewitchedmobile.com/	www.bewitchedmobile.com		Club cancelled due to damage from Katrina
North America/USA/Alabama	Close Encounters Mobile	Mobile	601-928-7716	http://sdc.com/sitemap/swingersclubinformation.htm	Click here		Off-premise Couples Only Social
North America/USA/Alabama	Ecstasy Club	Fultondale		http://www.geocities.com/clubxxtasy/clubxxtasy.html	Ecstasy Club		Cum find out what the lifestyle is all about
North America/USA/Alabama	Gulfcoast Playground	Mobile	251-214-8263	http://www.gulfcoastplayground.net/	www.gulfcoastplayground.net		Gulfcoast Playground...Where real Swingers Meet
North America/USA/Alabama	Obsessions Club	Birmingham		http://www.obsessionsclub.net	www.obsessionsclub.net	club_banners\banner_56.gif	Off Premise, Membership Based & Invitation Only, Live DJ, Monthly Themes
North America/USA/Alabama	Second Saturday Social	Birmingham	205-329-0788	http://sdc.com/sitemap/swingersclubinformation.htm	Click here		Swingers Parties
North America/USA/Alabama	Sinsations Of Alabama Social	Muscle Shoals	205-275-3776	http://sdc.com/sitemap/swingersclubinformation.htm	Click here		Alabama's Premier ON PREMISES Social
North America/USA/Alabama	Sweet Desires Club	Birmingham	205-243-4535-noon-9p	http://www.sweetdesiresclub.com	Click here		A sexy & erotic place to visit
North America/USA/Alaska	Fairbanks Swingers	Fairbanks					Couples on Swingers
Europe/Spain/Andalucia	Casa Patricia	Malaga / Alora	07710 455457			club_banners\banner_1855.gif	Swingers and Naturist Paradise in Rural Spain
Europe/Spain/Andalucia	Club Estrella Liberal	Sevilla	669 885 897				Un club privado y tranquilo
Europe/Spain/Andalucia	Eva y Adan	Cadiz	609 59 06 54				Ambiente liberal para parejas
Europe/Spain/Andalucia	Hacienda La Macarena	Velez-Malaga	0034/669.80.60.06			club_banners\banner_1814.gif	Swingers Paradise on the Costa del Sol
Europe/Spain/Andalucia	hotel benalmadena	benalmadena	952.05.81.17			club_banners\banner_1514.gif	swingers hotel with 83 rooms on the costa del sol
Europe/Spain/Andalucia	Hush	Costa Del Sol	0034 607679152			club_banners\banner_2113.jpg	Adult house parties on the Costa Del Sol
Europe/Spain/Andalucia	Play Papua	Sevilla					PUB de AMBIENTE para gentes liberales con estilo.
Europe/Spain/Andalucia	PlayPapua	Alicante					PUB de AMBIENTE para gentes liberales con estilo.
Europe/Spain/Andalucia	Pub Suenos	Sevilla	630-768822				Sueños, el mejor ambiente liberal en Sevilla
Europe/Spain/Andalucia	Swinger Marbella	Marbella	+34 653 624 304			club_banners\banner_1930.jpg	Luxury Swingers-Weekends
Europe/Spain/Andalucia	Teazers	Marbella					A normal bar but with that sexy atmosphere
Europe/Spain/Andalucia	The Sailing Swingers	Costa del Sol - Balearic					Sailing cruises for selected swingers
Europe/Spain/Aragon	PK2	Zaragoza	976-2911791				El Club mas discreto y Selecto de Zaragoza
South America/Argentina	Anchorena SW	Buenos Aires	+ 54 11 15 5833 2227				El único comlejo Swinger de Argentina
South America/Argentina	isis Club Swinger	Buenos Aires	011-45515662				Unico Club Privado de la Argentina
South America/Argentina	Menage Club	Buenos Aires					Menage club el mejor swinger de Argentina
South America/Argentina	Reina Loba Club Swinger	Ciudad de Buenos Aires	54-011-4854-8141			club_banners\banner_1542.gif	Lo Mejor del Swinger del Mundo en Buenos Aires
North America/USA/Arizona	Black Rose House	Bullhead City	928-763-2525	http://www.blackroseswingclub.com	Click here	club_banners\banner_1727.gif	ON Premise Adult Lifestyles Club
North America/USA/Arizona	Discretions	Phoenix	602 528 3878	http://www.discretions.com	www.discretions.com	club_banners\banner_1317.gif	Discretions is Arizonas friendliest club
North America/USA/Arizona	Encounters	Phoenix	(602) 230-9680	http://sdc.com/sitemap/swingersclubinformation.htm	Click here		On Premise Parties, Couples & Singles
North America/USA/Arizona	Liberated Christians	Phoenix		http://sdc.com/sitemap/swingersclubinformation.htm	Click here		Social Club Promotes Meaningful Intimacy & Sexual Liberation
North America/USA/Arizona	Phoenix Adult Lifestyles	Phoenix		http://www.phoenixadultlifestyles.com	PhoenixAdultLifestyles		Off-Premise Adult Lifestyles Club
North America/USA/Arizona	Second Saturdays Lifestyle MandG	Tempe	480-736-2438	http://www.lifestylemeetandgreet.com	Second Saturdays Lifestyle Meet and Greet		monthly lifestyle meet and greet for couples
North America/USA/Arkansas	4-SPC	Fayetteville		http://www.geocities.com/menthumper/4-SPC.html	Click here	club_banners\banner_273.jpg	Couples Only, Monthly Off-Premise Social Club
North America/USA/Arkansas	Fantasy Delights	Malvern		http://groups.yahoo.com/group/Fantasydelights/	Fantasy Delights	club_banners\banner_1884.gif	Delightfully good times.
North America/USA/Arkansas	Lee and Gwen's Exchange	Benton		http://sdc.com/sitemap/swingersclubinformation.htm	Click here		Off Premise, 3rd Sat Month, Live DJ, Monthly Themes
North America/USA/Arkansas	Spa City Connections	Hot Springs	501-454-1097	http://www.spacityconnections.com	Spa City Connections	club_banners\banner_1987.jpg	Private Hotel Party
Europe/Spain/Asturias	Pub Noches	Oviedo	608-17 59 33				Club privado y liberal en Oviedo
Australia Australia Oceania/Australia	Attunga Parties	Melbourne Australia	+61.405800989	http://www.attungaparties.com	Attunga Parties		Attunga Melbournes largert party venue
Australia Australia Oceania/Australia	Brizzy Bangers	Brisbane	0432838289	http://sdc.com/sitemap/swingersclubinformation.htm	Click here		We run safe sex gang bang parties
Australia Australia Oceania/Australia	Canberra Couples	Canberra		http://www.canberracouples.com	Canberra Couples	club_banners\banner_2349.jpg	A Friendly Swingers Group in Canberra
Australia Australia Oceania/Australia	club cuddly	australia wide		http://sdc.com/sitemap/swingersclubinformation.htm	swingers		bbw/bhm couples + single bbw swing group
Australia Australia Oceania/Australia	Club True Blue	Melbourne	0408 794 647	http://www.clubtrueblue.com	Club True Blue Melbourne	club_banners\banner_1817.gif	Swingers party, for Lovers of Fun, Melbournes Best
Australia Australia Oceania/Australia	Couples International	Brisbane	0411080011	http://www.couplesinternational.com.au	Swingers		A Classy Nightclub for adults with adult themes.
Australia Australia Oceania/Australia	Insatiable Swingers Party	Melbourne		http://sdc.com/sitemap/swingersclubinformation.htm	Click here		Hardcore gangbang party for couples/singles 35yo+
Australia Australia Oceania/Australia	Lotus Lounge	Sydney	0432 051 086	http://www.lotuslounge.com.au	Lotus Lounge		Australia's Premiere Couples Venue
Australia Australia Oceania/Australia	LP's The Club	Perth	94738969/0439987159	http://www.ladiesplayground.com.au	Click here		Lp's Perths most exclusive adult nightclub
Australia Australia Oceania/Australia	Mikesplace Brisbane	Brisbane	32552695	http://sdc.com/sitemap/swingersclubinformation.htm	Click here		Brisbanes no.1 Swingers Club
Australia Australia Oceania/Australia	Paradise Couples	Surfers Paradise	07 55388358	http://www.paradisecouples.info	Paradise Couples - The Ultimate Couples Meeting Venue	club_banners\banner_1622.gif	The Ultimate Couples Only Venue
Australia Australia Oceania/Australia	Swinger personals.com.au	-	01489889821	http://www.swingerpersonals.com.au/	Click here		Free sign up and lots of fun
Australia Australia Oceania/Australia	Sydney Inner Circle	Sydney	61433801400	http://www.sydneyinnercircle.com	Sydney Inner Circle	club_banners\banner_1816.jpg	Exclusive Couples-only Club
Australia Australia Oceania/Australia	THE COUPLES CLUB	Sydney	02 9211 7177	http://www.swingers.com.au	The Couples Swingers Club Sydney		Australias Original Swingers Club
Australia Australia Oceania/Australia	The X-Club	Gold Coast	617 55712269	http://www.xclub.aunz.net	The X-Club Swingers and Couples Club		The X-Club Swingers in Australia
Australia Australia Oceania/Australia	Utopia	Gold Coast	0415 125 178	http://www.utopia.org.au	utopia. adult swingers venue	club_banners\banner_2301.jpg	swingers adult venue for couples and singles
Austria	.Penthaus.	Wien		http://www.penthaus4fun.at	Penthaus	club_banners\banner_2311.gif	Der Swingerclub in Wien
Austria	1001 Nacht	Velden	0676-9764968	http://www.1001-nacht.at	1001-nacht.at	club_banners\banner_1928.jpg	Der Swingerclub der besonderen Art
Austria	Caribik Bar	Seisenegg	0043 7472 64711	http://www.caribik.at	caribik.at	club_banners\banner_1927.jpg	Erlebnissauna
Austria	Club Fiesta	Graz		http://www.club.fiesta.at	club.fiesta.at	club_banners\banner_1926.jpg	Der Lifestyleclub Fiesta
Austria	Club Oasis	Kufstein	0043 699 10667057	http://sdc.com/sitemap/swingersclubinformation.htm	swingers	club_banners\banner_481.gif	Club Oasis
Austria	Hokus Pokus	Gmunden	0043 650 53 58 4 53	http://www.hokuspokus.at	Hokus Pokus	club_banners\banner_988.gif	Hokus Pokus Swingerclub & Erotikpension
Austria	Hollywood	Vienna, Wien	+43 1 522 57 31	http://www.paerchenclub.at	Swingerclub Hollywood Vienna, Austria	club_banners\banner_1050.jpg	Swingerclub Hollywood Vienna, Austria, Wien
Austria	Le Swing	Vienna	0433321670	http://www.leswing.at	Swingerclub Le Swing	club_banners\banner_1535.gif	Swingerclub der besonderen Art
Austria	Metropolis	Behamberg	+43 (0) 664 8994259	http://www.swingerclub-metropolis.at	Click here	club_banners\banner_2325.gif	Erlebnisclub fuer Erwachsene
Austria	Relax	Wien		http://www.relaxxx.at	www.relaxxx.at	club_banners\banner_2038.jpg	Swinger-Club NUR FÜR PAARE und SINGLEDAMEN
Austria	SUSPEKT - erotic cocktail bar	Vienna	+43/1/9902868	http://www.suspekt.at	Suspekt	club_banners\banner_828.gif	The only erotic cocktail bar in Austria
Austria	Swingerclub Wachau	Unterwölbling	06765929423	http://www.erlebnissauna.at	www.swingerclubwachau.com	club_banners\banner_1653.jpg	Swingerclub Wachau zwischen Krems und St. Pölten
Austria	Swingersauna Herbert und Maria	Munderfing	43-07744-20049	http://www.swingersauna.at	swingersauna.at	club_banners\banner_2036.gif	Swingersauna
Austria	Tempel	Vienna	+43/1/3192313	http://www.Tempel.at	Tempel		The Tempel - were the Scene meets
Austria	Traumland	Wien	43-1 405 66 94	http://www.traumland.at	www.traumland.at	club_banners\banner_1909.jpg	Der Pärchenclub TRAUMLAND
Carribean/Bahamas	Sandals Resorts	Bahamas				club_banners\banner_1916.jpg	Sandals Resorts - All-Inclusive Caribbean Vacation
Europe/Spain/Ballearic Islands	Beverly Ibiza	Port des Torrent - Ibiza	0034629977068			club_banners\banner_2373.jpg	Beverly Ibiza - Partys of the new kind
Europe/Spain/Ballearic Islands	Cómplices	Palma de Mallorca	628-415-521				Hemos creado el mejor ambiente...
Europe/Spain/Ballearic Islands	Elixir de Fuego	Palma de Mallorca	0034/627 74 22 77				Club exclusivo liberal / swingers' club / Mallorca
Europe/Spain/Ballearic Islands	La Boum	Mallorca,Islas Baleares	971-742054				Circulo Privado de Parejas Liberales Mallorca
Europe/Spain/Ballearic Islands	La Llave de la Noche	Mallorca-Islas Baleares	34-971-283350				Un mundo de Fantasias Eróticas.......
Europe/Spain/Ballearic Islands	labacanal	Palma de Mallorca	(809) 6954123			club_banners\banner_897.jpg	Intercambio de Parejas, Orgias, Juegos, Viajes sex
Europe/Spain/Ballearic Islands	Liberty Loft	Ibiza	0034 662 060 267				Hotel bar lounge piscine restaurant
Europe/Spain/Ballearic Islands	Netty`s Sunparadise	IBIZA	0034-971-339143				Urlaub mal anders! - eens een andere vakantie!
Europe/Spain/Ballearic Islands	Netty`s Zonneparadijs	Cala Llonga - IBIZA	0034-971-339143				Vakantie voor Swingers
Europe/Spain/Ballearic Islands	Sexparty Mallorca	Mallorca	0034 677324859			club_banners\banner_2364.gif	Sexpartys auf Mallorca
Europe/Spain/Ballearic Islands	Sonnenparadies	Sta. Eulalia, Ibiza	00 34 - 971 33 91 43				Urlaub mal anders
Europe/Spain/Ballearic Islands	Swinger holiday club	Mallorca	00346665765			club_banners\banner_2140.jpg	Holiday Club for Swingers
Europe/Spain/Basque Country	GMINIS	GALDAKAO-BILBAO	944.57.00.70			club_banners\banner_1415.gif	TU LOCAL DE AMBIENTE SWINGERS EN ESPAA
Europe/Germany/Bayern	.Clubhotel Ollywood.	Dresden-Radebeul	0172-8775323	http://www.swinger-ollywood.de	Clubhotel Ollywood	club_banners\banner_2317.gif	Die ideale Kombination von Urlaub und Erotik
