"#Location"	"Name"	"Adress"	"Phone"	"Website"	" Linkanchor"	" Picture"	"Shortdescription"														
"Europe/Spain"	"Casa Patricia"	"Malaga / Alora, Andalucia"	"07710 455457"			"club_banners\banner_1855.gif"	"Swingers and Naturist Paradise in Rural Spain"														
"Europe/Spain"	"Club Estrella Liberal"	"Sevilla, Andalucia"	669885897				"Un club privado y tranquilo"														
"Europe/Spain"	"Eva y Adan"	"Cadiz, Andalucia"	"609 59 06 54"				"Ambiente liberal para parejas"														
"Europe/Spain"	"Hacienda La Macarena"	"Velez-Malaga, Andalucia"	"0034/669.80.60.06"			"club_banners\banner_1814.gif"	"Swingers Paradise on the Costa del Sol"														
"Europe/Spain"	"hotel benalmadena"	"benalmadena, Andalucia"	"952.05.81.17"			"club_banners\banner_1514.gif"	"swingers hotel with 83 rooms on the costa del sol"														
"Europe/Spain"	"Hush"	"Costa Del Sol, Andalucia"	"0034 607679152"			"club_banners\banner_2113.jpg"	"Adult house parties on the Costa Del Sol"														
"Europe/Spain"	"Play Papua"	"Sevilla, Andalucia"					"PUB de AMBIENTE para gentes liberales con estilo."														
"Europe/Spain"	"PlayPapua"	"Alicante, Andalucia"					"PUB de AMBIENTE para gentes liberales con estilo."														
"Europe/Spain"	"Pub Suenos"	"Sevilla, Andalucia"	"630-768822"				"Sueños, el mejor ambiente liberal en Sevilla"														
"Europe/Spain"	"Swinger Marbella"	"Marbella, Andalucia"	34653624304			"club_banners\banner_1930.jpg"	"Luxury Swingers-Weekends"														
"Europe/Spain"	"Teazers"	"Marbella, Andalucia"					"A normal bar but with that sexy atmosphere"														
"Europe/Spain"	"The Sailing Swingers"	"Costa del Sol - Balearic, Andalucia"					"Sailing cruises for selected swingers"														
"Europe/Spain"	"PK2"	"Zaragoza"	"976-2911791"				"El Club mas discreto y Selecto de Zaragoza"														
"South America/Argentina"	"Anchorena SW"	"Buenos Aires"	"+ 54 11 15 5833 2227"				"El único comlejo Swinger de Argentina"														
"South America/Argentina"	"isis Club Swinger"	"Buenos Aires"	"011-45515662"				"Unico Club Privado de la Argentina"														
"South America/Argentina"	"Menage Club"	"Buenos Aires"					"Menage club el mejor swinger de Argentina"														
"South America/Argentina"	"Reina Loba Club Swinger"	"Ciudad de Buenos Aires"	"54-011-4854-8141"			"club_banners\banner_1542.gif"	"Lo Mejor del Swinger del Mundo en Buenos Aires"														
"Europe/Spain"	"Pub Noches"	"Oviedo, Asturias"	"608-17 59 33"				"Club privado y liberal en Oviedo"														
"Australia Australia Oceania/Australia"	"Attunga Parties"	"Melbourne Australia"	"+61.405800989"	"http://www.attungaparties.com"	"Attunga Parties"		"Attunga Melbournes largert party venue"														
"Australia Australia Oceania/Australia"	"Brizzy Bangers"	"Brisbane"	432838289	"http://sdc.com/sitemap/swingersclubinformation.htm"	"Click here"		"We run safe sex gang bang parties"														
"Australia Australia Oceania/Australia"	"Canberra Couples"	"Canberra"		"http://www.canberracouples.com"	"Canberra Couples"	"club_banners\banner_2349.jpg"	"A Friendly Swingers Group in Canberra"														
"Australia Australia Oceania/Australia"	"club cuddly"	"australia wide"		"http://sdc.com/sitemap/swingersclubinformation.htm"	"swingers"		"bbw/bhm couples + single bbw swing group"														
"Australia Australia Oceania/Australia"	"Club True Blue"	"Melbourne"	408794647	"http://www.clubtrueblue.com"	"Club True Blue Melbourne"	"club_banners\banner_1817.gif"	"Swingers party, for Lovers of Fun, Melbournes Best"														
"Australia Australia Oceania/Australia"	"Couples International"	"Brisbane"	411080011	"http://www.couplesinternational.com.au"	"Swingers"		"A Classy Nightclub for adults with adult themes."														
"Australia Australia Oceania/Australia"	"Insatiable Swingers Party"	"Melbourne"		"http://sdc.com/sitemap/swingersclubinformation.htm"	"Click here"		"Hardcore gangbang party for couples/singles 35yo+"														
"Australia Australia Oceania/Australia"	"Lotus Lounge"	"Sydney"	432051086	"http://www.lotuslounge.com.au"	"Lotus Lounge"		"Australia's Premiere Couples Venue"														
"Australia Australia Oceania/Australia"	"LP's The Club"	"Perth"	"94738969/0439987159"	"http://www.ladiesplayground.com.au"	"Click here"		"Lp's Perths most exclusive adult nightclub"														
"Australia Australia Oceania/Australia"	"Mikesplace Brisbane"	"Brisbane"	32552695	"http://sdc.com/sitemap/swingersclubinformation.htm"	"Click here"		"Brisbanes no.1 Swingers Club"														
"Australia Australia Oceania/Australia"	"Paradise Couples"	"Surfers Paradise"	"07 55388358"	"http://www.paradisecouples.info"	"Paradise Couples - The Ultimate Couples Meeting Venue"	"club_banners\banner_1622.gif"	"The Ultimate Couples Only Venue"														
"Australia Australia Oceania/Australia"	"Swinger personals.com.au"		1489889821	"http://www.swingerpersonals.com.au/"	"Click here"		"Free sign up and lots of fun"														
"Australia Australia Oceania/Australia"	"Sydney Inner Circle"	"Sydney"	61433801400	"http://www.sydneyinnercircle.com"	"Sydney Inner Circle"	"club_banners\banner_1816.jpg"	"Exclusive Couples-only Club"														
"Australia Australia Oceania/Australia"	"THE COUPLES CLUB"	"Sydney"	"02 9211 7177"	"http://www.swingers.com.au"	"The Couples Swingers Club Sydney"		"Australias Original Swingers Club"														
"Australia Australia Oceania/Australia"	"The X-Club"	"Gold Coast"	"617 55712269"	"http://www.xclub.aunz.net"	"The X-Club Swingers and Couples Club"		"The X-Club Swingers in Australia"														
"Australia Australia Oceania/Australia"	"Utopia"	"Gold Coast"	415125178	"http://www.utopia.org.au"	"utopia. adult swingers venue"	"club_banners\banner_2301.jpg"	"swingers adult venue for couples and singles"														
"Europe/Austria"	".Penthaus."	"Wien"		"http://www.penthaus4fun.at"	"Penthaus"	"club_banners\banner_2311.gif"	"Der Swingerclub in Wien"														
"Europe/Austria"	"1001 Nacht"	"Velden"	"0676-9764968"	"http://www.1001-nacht.at"	"1001-nacht.at"	"club_banners\banner_1928.jpg"	"Der Swingerclub der besonderen Art"														
"Europe/Austria"	"Caribik Bar"	"Seisenegg"	"0043 7472 64711"	"http://www.caribik.at"	"caribik.at"	"club_banners\banner_1927.jpg"	"Erlebnissauna"														
"Europe/Austria"	"Club Fiesta"	"Graz"		"http://www.club.fiesta.at"	"club.fiesta.at"	"club_banners\banner_1926.jpg"	"Der Lifestyleclub Fiesta"														
